"SITE_TRANS","YEAR","siteID","yrID"
"NAPL_4",2011,26,12
"NAPL_5",2011,27,12
"NAPL_6",2011,28,12
"NAPL_7",2011,29,12
"NAPL_8",2011,30,12
"SCDI_2",2011,31,12
"SCDI_3",2011,32,12
"SCTW_2",2011,33,12
"SCTW_3",2011,34,12
"ABUR_1",2012,1,13
"ABUR_2",2012,2,13
"AQUE_1",2012,3,13
"AQUE_2",2012,4,13
"AQUE_3",2012,5,13
"AQUE_4",2012,6,13
"AQUE_5",2012,7,13
"AQUE_6",2012,8,13
"BULL_1",2012,9,13
"BULL_3",2012,10,13
"BULL_6",2012,11,13
"GOLB_1",2012,12,13
"GOLB_2",2012,13,13
"IVEE_1",2012,14,13
"IVEE_2",2012,15,13
"IVEE_3",2012,16,13
"IVEE_5",2012,17,13
"IVEE_6",2012,18,13
"IVEE_7",2012,19,13
"IVEE_8",2012,20,13
"MOHK_1",2012,21,13
"MOHK_2",2012,22,13
"NAPL_1",2012,23,13
"NAPL_2",2012,24,13
"NAPL_3",2012,25,13
"NAPL_4",2012,26,13
"NAPL_5",2012,27,13
"NAPL_6",2012,28,13
"NAPL_7",2012,29,13
"NAPL_8",2012,30,13
"SCDI_2",2012,31,13
"SCDI_3",2012,32,13
"SCTW_2",2012,33,13
"SCTW_3",2012,34,13
"ABUR_1",2013,1,14
"ABUR_2",2013,2,14
"AQUE_1",2013,3,14
"AQUE_2",2013,4,14
"AQUE_3",2013,5,14
"AQUE_4",2013,6,14
"AQUE_5",2013,7,14
"AQUE_6",2013,8,14
"BULL_1",2013,9,14
"BULL_3",2013,10,14
"BULL_6",2013,11,14
"GOLB_1",2013,12,14
"GOLB_2",2013,13,14
"IVEE_1",2013,14,14
"IVEE_2",2013,15,14
"IVEE_3",2013,16,14
"IVEE_5",2013,17,14
"IVEE_6",2013,18,14
"IVEE_7",2013,19,14
"IVEE_8",2013,20,14
"MOHK_1",2013,21,14
"MOHK_2",2013,22,14
"NAPL_1",2013,23,14
"NAPL_2",2013,24,14
"NAPL_3",2013,25,14
"NAPL_4",2013,26,14
"NAPL_5",2013,27,14
"NAPL_6",2013,28,14
"NAPL_7",2013,29,14
